orden,Intersecciones,Lat,Lon,hin,prioridad,tamaño,color
170,Gomez Morin con Rio Amazonas,25.6579556,-100.3564188,108.6557232,9,1,#c6cc14
171,Corregidora con Plan Del Rio,25.672657,-100.402618,108.5986395,9,1,#c6cc14
172,Rufino Tamayo con Humberto Junco,25.647838,-100.323279,107.1227448,9,1,#c6cc14
173,Jose Vasconcelos con Privada Rio Rosas,25.652409,-100.3611419,107.043774,9,1,#c6cc14
174,Ricardo Margain con Canelos,25.6568226,-100.3526958,107.0183378,9,1,#c6cc14
175,Jimenez con L. Garza Ayala,25.66357125,-100.4092088,105.3611358,9,1,#c6cc14
176,Rio Suchiate con Rio Amazonas,25.6634029,-100.375454,104.8630583,9,1,#c6cc14
177,Grafito con Fierro,25.6845717,-100.4168673,104.4146702,9,1,#c6cc14
178,Calzada Del Valle con Rio Jordan,25.6615397,-100.3844354,104.2218279,9,1,#c6cc14
179,Alfonso Reyes con Vereda,25.6480327,-100.384845,104.1771665,9,1,#c6cc14
180,Rio Mississippi con Rio Rosas,25.657025,-100.359861,104.1177167,9,1,#c6cc14
181,Rio Mississippi con Rio Tamazunchale,25.658303,-100.365325,103.2812777,9,1,#c6cc14
182,Emiliano Zapata con Niceforo Zambrano,25.682184,-100.406673,103.0973085,9,1,#c6cc14
183,Enrique Garcia Leal con 20 De Noviembre,25.6783451,-100.418299,103.0496894,9,1,#c6cc14
184,Real San Agustin con Lampazos,25.6450978,-100.339034,102.4306418,9,1,#c6cc14
185,Cobalto con Fierro,25.6833867,-100.4170153,102.2318841,9,1,#c6cc14
186,Corregidora con Libertad,25.6655441,-100.4042267,102.0529429,9,1,#c6cc14
187,Ricardo Margain con Rio Pantepec,25.66096101,-100.3524556,102.0215912,9,1,#c6cc14
188,Alfonso Reyes con Bosques De Cuernavaca,25.6426747,-100.373576,101.8393966,9,1,#c6cc14
189,Corregidora con 5 De Mayo,25.659905,-100.406569,101.4655427,9,1,#c6cc14
190,Rio Orinoco con Rio Tamesis,25.6639868,-100.3799898,101.436853,9,1,#c6cc14
191,Cobalto con Zinc,25.6830854,-100.4135673,101.4262053,9,1,#c6cc14
192,Ricardo Margain con Rio Parana,25.66098292,-100.3526968,101.4066844,9,1,#c6cc14
193,Rio Suchiate con Rio Volga,25.6569797,-100.3777213,101.0390417,9,1,#c6cc14
194,Rio Suchiate con Via Triumphalis,25.666107,-100.3745246,100.9509021,9,1,#c6cc14
195,Real San Agustin con San Agustin,25.6471395,-100.339368,100.9331559,9,1,#c6cc14
196,Emiliano Zapata con Plan De Gpe.,25.681886,-100.408833,100.3744454,9,1,#c6cc14
197,Roberto Garza Sada con La Riviera,25.635247,-100.358177,99.26264419,10,1,#c6cc14
198,Rio Orinoco con Rio Moctezuma,25.6589006,-100.3619903,98.82431233,10,1,#c6cc14
199,Morones Prieto con Via Popilia,25.6679156,-100.3721402,98.13339249,10,1,#c6cc14
200,Gomez Morin con Rio De La Plata,25.6544422,-100.3574994,94.76515824,10,1,#c6cc14
201,Jose Vasconcelos con Monte Icutu,25.6535615,-100.3441929,93.54155575,10,1,#c6cc14
202,Ricardo Margain con De La Industria,25.64582583,-100.3528054,90.25820763,10,1,#c6cc14
203,Gomez Morin con Rio Manzanares,25.6550493,-100.3573284,89.65306122,10,1,#c6cc14
204,Corregidora con Lucio Blanco,25.6725,-100.402747,83.52114759,10,1,#c6cc14
205,Alfonso Reyes con Santa Barbara,25.6527836,-100.396646,83.46169772,10,1,#c6cc14
206,Humberto Lobo con Rio Madeira,25.66381156,-100.3817746,82.45312038,10,1,#c6cc14
207,Calzada San Pedro con Fuentes Del Valle,25.66533504,-100.3683481,80.69565217,10,1,#c6cc14
208,Calzada Del Valle con Rio Balsas,25.65848368,-100.3744996,78.19018042,10,1,#c6cc14
209,Calzada San Pedro con Via Angelica,25.666904,-100.3684305,75.78852411,10,1,#c6cc14
210,Jose Vasconcelos con Rio Nazas,25.6533269,-100.3462134,75.31647442,10,1,#c6cc14
211,Jose Vasconcelos con J. M. Montemayor,25.6548049,-100.3835143,73.08932269,10,1,#c6cc14
212,Humberto Lobo con Rio Mississippi,25.66312021,-100.3821249,73.06743567,10,1,#c6cc14
213,Jose Vasconcelos con Jimenez,25.66439137,-100.4088611,72.32209406,10,1,#c6cc14
214,Jose Vasconcelos con Rio Mosa,25.6561557,-100.3875139,71.72463768,10,1,#c6cc14
215,Morones Prieto con Diego Saldivar,25.6660117,-100.412673,69.40727595,10,1,#c6cc14
216,Jose Vasconcelos con Diego Saldivar,25.66545908,-100.412529,69.19461698,10,1,#c6cc14
217,Jose Vasconcelos con 20 De Noviembre,25.6530924,-100.3798591,68.5220349,10,1,#c6cc14
218,Ricardo Margain con Sofia,25.64845567,-100.3527718,66.62880804,10,1,#c6cc14
219,Benito Juarez con Libertad,25.6649217,-100.4024307,65.66104703,10,1,#c6cc14
220,Emiliano Zapata con Pedro N. Perales,25.679351,-100.403781,65.52351375,10,1,#c6cc14
221,Jose Vasconcelos con Bosques De Chapultepec,25.6519282,-100.3771272,64.99970423,10,1,#c6cc14
222,Alfonso Reyes con Bosques Del Olivo,25.6449247,-100.377433,64.94025436,10,1,#c6cc14
223,Humberto Lobo con Rio De La Plata,25.6619336,-100.3827032,64.85093168,10,1,#c6cc14
224,Jose Vasconcelos con Rio Tamazunchale,25.6517169,-100.3672727,64.70659568,10,1,#c6cc14
225,Real San Agustin con Montes Apalaches,25.6515012,-100.33929,64.61431529,10,1,#c6cc14
226,Ricardo Margain con Rio Missouri,25.657925,-100.352673,64.04347826,10,1,#c6cc14
227,Jose Vasconcelos con Lomas Del Valle,25.6522007,-100.3778948,63.95652174,10,1,#c6cc14
228,Roberto Garza Sada con Jeronimo Siller,25.6355777,-100.370135,63.63856847,10,1,#c6cc14
229,Ricardo Margain con Arbol,25.6554059,-100.3527234,62.31824904,10,1,#c6cc14
230,Jose Vasconcelos con Rio Tigris,25.6515205,-100.3712416,62.06388642,10,1,#c6cc14
231,Lazaro Cardenas con Montes Carpatos,25.655294,-100.339617,62.05826678,10,1,#c6cc14
232,Manuel J. Clouthier con Bernardo Reyes,25.6782121,-100.4033912,61.93936705,10,1,#c6cc14
233,Emiliano Zapata con Jose Benitez,25.68121,-100.405108,61.77136942,10,1,#c6cc14
234,Humberto Lobo con Rio Danubio,25.6592152,-100.3834471,61.26234842,10,1,#c6cc14
235,Grafito con Zinc,25.6844631,-100.4135873,61.1703638,10,1,#c6cc14
236,Manuel J. Clouthier con Cobre,25.6801636,-100.4131268,61.14788524,10,1,#c6cc14
237,Alfonso Reyes con Sierra Verde,25.6452219,-100.378824,61.0801538,10,1,#c6cc14
238,Manuel J. Clouthier con Plata,25.6803983,-100.4143884,60.9949719,10,1,#c6cc14
